trat;luz;temp;sub;umidade;rep;germ;plant;plantm;rm;plantanorm
136;escuro;25;SV;seco;1;7;3;3;0;4
136;escuro;25;SV;seco;2;6;3;4;0;3
136;escuro;25;SV;seco;3;7;6;3;0;1
137;escuro;25;SV;intermed;1;9;9;1;0;0
137;escuro;25;SV;intermed;2;3;2;7;1;0
137;escuro;25;SV;intermed;3;9;9;1;0;0
138;escuro;25;SV;umido;1;7;7;3;0;0
138;escuro;25;SV;umido;2;8;8;2;0;0
138;escuro;25;SV;umido;3;6;6;4;0;0
139;escuro;25;EV;seco;1;8;8;2;0;0
139;escuro;25;EV;seco;2;0;0;10;0;0
139;escuro;25;EV;seco;3;8;8;2;0;0
140;escuro;25;EV;intermed;1;9;9;1;0;0
140;escuro;25;EV;intermed;2;7;7;3;0;0
140;escuro;25;EV;intermed;3;5;5;5;0;0
141;escuro;25;EV;umido;1;6;6;4;0;0
141;escuro;25;EV;umido;2;7;7;3;0;0
141;escuro;25;EV;umido;3;8;8;2;0;0
142;escuro;25;SA;seco;1;9;9;1;0;0
142;escuro;25;SA;seco;2;3;3;7;0;0
142;escuro;25;SA;seco;3;6;6;4;0;0
143;escuro;25;SA;intermed;1;7;7;3;0;0
143;escuro;25;SA;intermed;2;5;5;5;0;0
143;escuro;25;SA;intermed;3;5;5;5;0;0
144;escuro;25;SA;umido;1;4;4;6;0;0
144;escuro;25;SA;umido;2;9;9;1;0;0
144;escuro;25;SA;umido;3;7;6;3;1;0
145;escuro;25;EA;seco;1;7;7;3;0;0
145;escuro;25;EA;seco;2;3;3;7;0;0
145;escuro;25;EA;seco;3;3;3;7;0;0
146;escuro;25;EA;intermed;1;2;2;8;0;0
146;escuro;25;EA;intermed;2;6;6;4;0;0
146;escuro;25;EA;intermed;3;2;2;8;0;0
147;escuro;25;EA;umido;1;3;3;7;0;0
147;escuro;25;EA;umido;2;4;4;6;0;0
147;escuro;25;EA;umido;3;3;3;7;0;0
148;escuro;30;RP;seco;1;7;7;3;0;0
148;escuro;30;RP;seco;2;7;7;3;0;0
148;escuro;30;RP;seco;3;7;7;3;0;0
149;escuro;30;RP;intermed;1;6;5;4;1;0
149;escuro;30;RP;intermed;2;6;6;4;0;0
149;escuro;30;RP;intermed;3;6;4;4;2;0
150;escuro;30;RP;umido;1;2;2;8;0;0
150;escuro;30;RP;umido;2;5;4;5;1;0
150;escuro;30;RP;umido;3;3;3;7;0;0
151;escuro;30;SP;seco;1;5;5;5;0;0
151;escuro;30;SP;seco;2;7;6;3;1;0
151;escuro;30;SP;seco;3;6;1;4;5;0
152;escuro;30;SP;intermed;1;7;7;3;0;0
152;escuro;30;SP;intermed;2;8;7;2;1;0
152;escuro;30;SP;intermed;3;6;6;4;0;0
153;escuro;30;SP;umido;1;4;4;6;0;0
153;escuro;30;SP;umido;2;4;3;6;1;0
153;escuro;30;SP;umido;3;6;0;4;6;0
154;escuro;30;EP;seco;1;8;6;2;2;0
154;escuro;30;EP;seco;2;4;4;6;0;0
154;escuro;30;EP;seco;3;6;0;4;6;0
155;escuro;30;EP;intermed;1;7;5;3;2;0
155;escuro;30;EP;intermed;2;2;1;8;1;0
155;escuro;30;EP;intermed;3;4;4;6;0;0
156;escuro;30;EP;umido;1;5;3;5;2;0
156;escuro;30;EP;umido;2;8;3;2;5;0
156;escuro;30;EP;umido;3;4;2;6;2;0
157;escuro;30;SV;seco;1;9;6;1;3;0
157;escuro;30;SV;seco;2;6;6;4;0;0
157;escuro;30;SV;seco;3;7;7;3;0;0
158;escuro;30;SV;intermed;1;5;3;5;2;0
158;escuro;30;SV;intermed;2;8;8;2;0;0
158;escuro;30;SV;intermed;3;8;5;2;3;0
159;escuro;30;SV;umido;1;6;6;4;0;0
159;escuro;30;SV;umido;2;8;7;2;1;0
159;escuro;30;SV;umido;3;6;5;4;1;0
160;escuro;30;EV;seco;1;6;6;4;0;0
160;escuro;30;EV;seco;2;7;7;3;0;0
160;escuro;30;EV;seco;3;7;7;3;0;0
161;escuro;30;EV;intermed;1;7;6;3;1;0
161;escuro;30;EV;intermed;2;8;6;2;2;0
161;escuro;30;EV;intermed;3;6;4;4;1;1
162;escuro;30;EV;umido;1;6;2;4;4;0
162;escuro;30;EV;umido;2;6;6;4;0;0
162;escuro;30;EV;umido;3;7;6;3;1;0
163;escuro;30;SA;seco;1;6;5;4;1;0
163;escuro;30;SA;seco;2;5;5;5;0;0
163;escuro;30;SA;seco;3;7;7;3;0;0
164;escuro;30;SA;intermed;1;7;7;3;0;0
164;escuro;30;SA;intermed;2;6;5;4;1;0
164;escuro;30;SA;intermed;3;7;6;3;1;0
165;escuro;30;SA;umido;1;9;9;1;0;0
165;escuro;30;SA;umido;2;6;6;4;0;0
165;escuro;30;SA;umido;3;6;5;4;1;0
166;escuro;30;EA;seco;1;4;4;6;0;0
166;escuro;30;EA;seco;2;4;4;6;0;0
166;escuro;30;EA;seco;3;0;0;10;0;0
167;escuro;30;EA;intermed;1;7;7;3;0;0
167;escuro;30;EA;intermed;2;8;8;2;0;0
167;escuro;30;EA;intermed;3;5;5;5;0;0
168;escuro;30;EA;umido;1;3;2;7;1;0
168;escuro;30;EA;umido;2;5;3;5;2;0
168;escuro;30;EA;umido;3;2;2;8;0;0
169;escuro;35;RP;seco;1;3;3;7;0;0
169;escuro;35;RP;seco;2;4;4;6;0;0
169;escuro;35;RP;seco;3;4;4;6;0;0
170;escuro;35;RP;intermed;1;5;5;5;0;0
170;escuro;35;RP;intermed;2;6;6;4;0;0
170;escuro;35;RP;intermed;3;5;4;5;1;0
